name,rate,reviews
미션 파서블,8,김영광 너무 웃김 ㅋㅋㅋ 귀여움 ㅋㅋㅋ재밌어요 볼만한데 ㅋㅋㅋ 웃기고 ㅋㅋㅋ좋아요!!
내일의 기억,1,보지 마셈. 시간 낭비임. 돈도 아까움
낙원의 밤,6,장르가 약간 이것도 저것도 아닌 느낌을 받음. ㅠ주인공이 왜 회장을 죽이게 된건지 부연설명도 부족했고 . 개연성도 떨어짐.. 상황에 맞지않는 대화나 ㅜ 예를들어 남자주인공 마지막에 넘 쥐어터져서 다 죽어가게 생긴 판에 조폭들 있는 한가운데서 넌 내가 괜찮아보이냐.. 안괜찮은데 왜 괜찮냐고 질문하냐는 둥.. 공감 안가는 대화 부분이 많았음.ㅠ
서복,9,"일단 믿고 보는 공유, 박보검이기에 망설임없이 봐야된다고 생각하고 영화를 관람함. 생각보다 잔잔한 스토리였지만 오히려 그 부분이 더욱 마음에 드는 영화.서복역은 박보검만이 소화 해낼수 있지 않았을까라는 생각이 듬. 자신이 주어진 실험체로써의 가치에 대해 담담하게 말하는 장면이 너무나도 슬펐음....영화가 후반부터 끝날때까지 그리고 끝나서 까지도 인간의 죽음과 살아있음에 대해 많은 생각을 하게 되는 영화."
낙원의 밤,2,신세계나 빨리찍지 이상한거 찍고 자빠졋네개노잼
섀도우 클라우드,1,보는도중 코믹인줄ㅋㅋㅋ 역대최고3류영화
미나리,10,오랜만에 가슴이 찡하고 여운이 남는 영화입니다. 감정을 폭발시키기보다 눌러담은 듯한 잔잔함과 담백하지만 마음을 툭툭 한번씩 건드려주는 대사들이  너무 좋았습니다. 미나리 엔딩도 슬며시 미소가 지어지네요.
내일의 기억,1,고치라고 했다고 고친 사람이 더 문제라는 정신나간 어느 인간이 만들었다는 그 문제작인가요?
서복,10,공유 박보검 나와서 보는 내내 눈이 즐거웠다 연기가 두분 다 훌륭해서 스토리와 감동 받았습니다 재밌게 잘 봤어요^^
서복,1,정말 기대했는데..
어벤져스: 엔드게임,10,이게 벌써 2년전이네요..
어벤져스: 엔드게임,10,이게 벌써 2년전이네요..
서복,1,작가님이 재밌게 본 영화가 많으신가 이것저것 짬뽕해놓으셨네요. ㅋ ㅋ 속으로 무슨 대사 나올지 미리 맞출 수 있을 정도의 진부함. . 스토리는 산으로 가고 박보검은 초능력자던데 그냥
해어화,8,가볍게 보기시작했는데 몰입했습니다. 여운이 많이 남습니다
더 파더,10,안소니 홉킨스의 남우주연상은 엔딩 부분 그의 연기만으로 합당하다. 감히 올해 봤던 영화중에 가장 훌륭한 영화라 말할 수 있다.
내일의 기억,10,잘 봤습니다 너무 좋았어요
화양연화,10,"가장 아름다운 사랑으로 기억에 남을 수 있었던건, 어쩌면 나무에 비밀이란 이름으로 추억을 남길 수 있었기 때문일지 모른다"
내일의 기억,10,넘  끝이 슬프다.저런 오빠가 있을까?
자산어보,10,"흑백영화라고 얘기하지 않는다면 흑백영화라 인식을 하지 못할 것입니다. 그만큼 개연성, 카메라 구도, 장면 하나하나 세세한 연출, 픽션을 그때 당시 인물을 실제로 보는 듯한 흡입력 좋은 연기...최근 봤던 영화 중 으뜸인 영화이었습니다."
서복,4,드라마로 가려면 가던가 액션으로 가려면 가던가드라마에 갑자기 sf액션 그리고 박보검인가 연 존나게 못함공유가 다함
잭 라이언 : 코드네임 쉐도우,7,"탁월한 능력의 소유자인 CIA요원이 정체를 숨기고 월가의 임원으로 살아 가던 중 전세계 경제를 붕괴 시킬 테러의 음모를 알아 차리면서 벌어지는 이야기를 그린 액션, 드라마, 스릴러영화다. 주인공은 CIA 분석전문가, 테러공격으로 미국경제를 붕괴 시켜 전세계 경제를 마비시키려는 러시아의 음모를 밝혀내는 과정을 스릴감 넘치게 보여준다. 이영화의 각본은 누가 언제 어디서 무엇을 어떻게 왜라는 소위 6하 원칙의 정석을 보여주는 모범적인 스토리다. 그렇게 각본이 짜여진 배경에는 밀리터리 소설가로 유명한 톰 클랜시의 잭 라이언을 차용했기 때문이다. 다시말해 캐릭터를 빌려와서 첩보액션 스릴러에 맞게 아담 코자드와 데이빗 코엡등이 공동작업으로 만들었다. 그렇기에 이영화는톰 클랜시의 잭 라이언 시리즈를 원작으로 각색한 영화는 아니다. 잭 라이언이 영화제목에 붙어 있는지 처음에 의아했지만 톰 클랜시가 캐릭터를 써도록 허락해 주고 영화의 공동각본에 이름을 올린 것이 아닌가 싶다. 그래서 이영화는 톰 클랜시의 잭 라이언의 그림자를 완전히 걷어 내고 새로운 캐릭터를 창조해 내기엔 워낙 원작의 캐릭터가 강하게 박혀 있어 상당히 어려웠을 것이다. 톰 크랜시는 1990년 존 맥티어난감독, 숀 코네리, 알렉 볼드윈주연의 '붉은 10월'을 쓴 장본인이다. 이후 잭 라이언시리즈를 비롯해 많은 밀리터리소설과 첩보영화의 각본을 쓴 인물로 아마도 이분의 글을 읽거나 영화를 보고 밀덕한 세대도 많을 것이다. 잭 라이언이란 톰 클랜시에겐 상당히 중요한 캐릭터다. 아마도 내가 생각하기엔 크리스 파인의 잭 라이언이 그가 생각하는 잭 라이언은 아니었을 것으로 추측된다. 액션이나 연기가 너무나 평범하고 CIA요원이라기 보다 두뇌 좋은 사무요원에 더 가까운 캐릭터이기 때문이다. 첩보액션영화나 본드영화의 캐릭터라면 당연히 톰 클랜시가 선호할 법한 해리슨 포드, 알렉 볼드윈, 로저 무어, 숀 코너리, 톰 하디등과 같이 선이 굵직한 캐릭터가 적합한데 크리스 파인은 조금 약한 캐릭터가 아닌가 싶다. 캐빈 코스터나"
낙원의 밤,10,승원이형 ㅋㅋㅋㅋ때문에 많이 웃음
러브 & 드럭스,10,감동~   설렘도 감동도 주루룩...
브리짓 존스의 일기,8,
내일의 기억,10,공/사는  구분할줄  ...쫄깃쫄깃  내용은  굿이였다..간만에   몸에 전율이 감돌았음..공포보다 더 쪼는맛...
승리호,5,할리우드가 아니고 제작비가 적은 걸 감안해도 유치하고 어설픈건 어쩔 수가 없다 중간중간 그냥 스킵하고 싶었지만 한국인이라 의리고 꾹 참고 겨우 다 봤다 외국영화였다면 시간낭비했다고 욕날렸을 것이다
미나리,6,하인한테 수당을 줬더니 다른 하인은 앞으로 수당을 못받게 깽판을 쳤네 지만 잘난줄 아는 세상
서복,8,박보검 공유 없었으면 망한영화
"조제, 호랑이 그리고 물고기들",10,OST 떡칠 없고 감동 있고 재미있었던 진짜 좋은 애니메이션.
워크 투 리멤버,10,클리셰를 예쁘게 잘 조합하면 클래식이 나온다는.. 매혹적인 소년소녀들의 슬픈 운명.바람과 같은 어떤 것..
노매드랜드,8,"개인적이고도 인간적인 영화. 슬픈 장면은 없었지만 슬펐고, 눈물이 나올 것만 같았지만 나오지 않았다. 프란시스 맥도먼드에 제대로 반했다. 노매드 그 자체였다."
